id_cl,id_us
90123,1944734
131090,1972365
172097,1762755
286859,619623
270481,1600221
286866,534295
90264,1545193
295106,979285
295129,979504
229617,1986847
205098,1463119
317,1238259
336193,550800
270677,85342
205177,1895283
428,1042257
352722,206816
107011,1391911
98837,1277712
270870,90343
270887,537162
180801,8009
180841,405414
180872,366
180901,622685
254654,412166
139976,631330
393937,807465
393939,824246
393940,824163
90846,738251
271072,90459
361191,1633596
271110,90516
213773,151876
271218,90620
140179,649060
353179,1921592
271266,90481
353188,1049640
271307,62684
271313,1671365
271315,796881
279520,385349
271376,90435
107568,1622899
91222,387856
230486,807550
197741,960572
140401,593592
140404,1933438
107649,1430048
148638,1216688
418993,1085527
91318,1532467
279761,541823
394452,772294
255206,761902
288052,1223009
107852,1430876
107857,1427015
353621,807043
1379,1238649
255336,406133
99693,1392486
91506,737352
83324,1237069
1421,1238824
173458,911412
173460,858970
83351,51771
394660,824183
402893,1993335
157135,905869
394703,779973
394704,829636
255472,1505765
255475,56778
255540,405927
214583,1057107
271928,104808
271931,942534
337467,605814
271933,104842
157247,1240263
271937,104775
271939,104799
271940,104498
271941,104744
271944,104472
337474,54963
337476,1664195
353896,1327241
288383,591026
329361,1606904
100004,1136714
108197,1463113
280278,959003
181986,802433
255718,1360129
288495,551070
182006,699691
83713,7984
108296,1463069
288555,807237
288557,385537
288565,586167
288578,551111
288588,585758
157532,1248423
83820,1672764
10101,1691608
386946,296566
100241,1532422
288695,1487002
92094,1295707
288708,1794464
288743,585964
419831,1666420
116735,1412302
108554,208030
174115,859363
84033,90370
198722,184361
419908,385087
116806,1412248
141388,529613
100494,1938369
108704,1468040
108713,1463090
215220,1056823
157922,1192600
190712,131601
84224,1983573
354584,937832
207139,1886147
108845,1794470
117056,1411941
272738,459718
2416,817252
223626,1227386
108945,1463064
272843,55072
133608,348293
256489,438265
256490,438455
27181,189783
420397,455732
387656,257065
297590,746913
387706,283491
223873,1969900
84628,343270
84633,937790
215710,1541052
215711,1330452
2755,1659912
191203,316021
191204,145974
273139,770527
142073,1320506
289535,1804743
256794,50432
101199,45330
387930,283361
158564,1269452
232326,1033007
166791,1403054
330644,727733
109483,1392901
3019,1659889
158672,123649
84982,7819
150557,1891476
191740,253096
224511,1970864
224514,1795640
134403,1977325
158981,1196820
159001,179938
11546,66463
232731,589418
290084,1794616
175400,1748337
3382,1261242
134471,1311480
118088,1407507
85343,1955069
191848,1789389
388469,262751
191864,169312
